name,bereiche,eu_hosting,offizielle_url
Accountable,Buchhaltung,ja,https://www.accountable.de/
ActiveCampaign,Newsletter & E-Mail,nein,https://www.activecampaign.com/
Activepieces,Automatisierung,unbekannt,https://www.activepieces.com/
Ada,Chatbot & Kundenservice,unbekannt,https://www.ada.cx/
AdCreative.ai,Marketing-AI | Design | Image-Gen,unbekannt,https://www.adcreative.ai
Adobe Firefly,Image-Gen | Design,unbekannt,https://firefly.adobe.com
Adobe Firefly / Premiere,Video,unbekannt,https://www.adobe.com/products/firefly.html
Agicap,Buchhaltung,ja,https://agicap.com/de/
Ahrefs,SEO,unbekannt,https://ahrefs.com
Aider,Coding,unbekannt,https://aider.chat
AIVA,Musik,ja,https://www.aiva.ai/
Albato,Automatisierung,unbekannt,https://albato.com/
Aleph Alpha (Pharia),AI-Chat | API | Compliance-DACH,unbekannt,https://aleph-alpha.com
Amberscript,Voice & Transkription,ja,https://www.amberscript.com/de/
Anyword,Marketing-AI | Writing,unbekannt,https://anyword.com
Apify,Scraping,unbekannt,https://apify.com
Apollo.io,Sales,unbekannt,https://apollo.io
Arc Search,Search,unbekannt,https://arc.net
AssemblyAI,Voice & Transkription,nein,https://www.assemblyai.com/
aTrain,Voice & Transkription,ja,https://github.com/JuergenFleiss/aTrain
BigBuy,Dropshipping,ja,https://www.bigbuy.eu/
Billomat,Buchhaltung,ja,https://www.billomat.com/
Brandsdistribution,Dropshipping,ja,https://www.brandsdistribution.com/
Brevo,Newsletter & E-Mail,ja,https://www.brevo.com/de/
BRYTER,Automatisierung,ja,https://www.bryter.com/de/
BuchhaltungsButler,Buchhaltung,ja,https://www.buchhaltungsbutler.de/
Camunda,Automatisierung,ja,https://camunda.com/de/
Candis,Buchhaltung,ja,https://www.candis.io/
CleverReach,Newsletter & E-Mail,ja,https://www.cleverreach.com/de/
Cognigy,Chatbot & Kundenservice,ja,https://www.cognigy.com/de
