kollektion-publiziert	socken-strumpfe	gid://shopify/Collection/689028989313
kollektion-publiziert	haustier-tech	gid://shopify/Collection/689253613953
kollektion-publiziert	socken-strumpfe	gid://shopify/Collection/689028989313
kollektion-publiziert	haustier-tech	gid://shopify/Collection/689253613953
artikel	gid://shopify/Article/1001442804097	fitness-ohne-gym-5-effektive-ubungen-fur-zuhause-2026	/products/resistance-bands-set-5-teilig-fitnessbaender-heim-training=>/products/resistance-bands-set-5-teilig-fitnessbander-heim-training;/products/premium-yogamatte-6mm-anti-rutsch-tpe-inkl-tragegurt=>/collections/sub-yoga-fitness;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm=>/collections/sub-trinkflaschen
artikel	gid://shopify/Article/1001442836865	silk-pillowcase-bringt-sie-wirklich-was-dermatologen-test-2026	/products/silk-pillowcase-set-premium-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/ultraschall-aroma-diffuser-bambus-500ml-7-led-farben=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001442869633	hund-im-dunkeln-so-bleibt-dein-vierbeiner-sicher-komplettguide	/products/led-sicherheitshalsband-hund-usb-wasserdicht-ip65=>/collections/sub-haustier;/products/tragbares-ladegeraet-20000mah-solar-3-usb-ports-led=>/collections/elektronik-laden;/products/automatischer-haustiertraenke-2l-katze-hund-filter=>/collections/sub-haustier;/products/slow-feeder-anti-schling-napf-fuer-hunde-katzen=>/products/anti-rutsch-slow-feeder-napf-fur-hunde-610600
artikel	gid://shopify/Article/1001442902401	baby-schlaft-nicht-7-tipps-die-wirklich-helfen	/products/elektrischer-baby-nagelschneider-leise-led-5-aufsaetze=>/collections/sub-baby-kids;/products/silikon-baby-laetzchen-5er-set-bpa-frei-spuelmaschinenfest=>/products/silikon-baby-latzchen-5er-set-bpa-frei-spulmaschinenfest
artikel	gid://shopify/Article/1001442935169	home-office-5-lifehacks-gegen-augenschmerzen-amp-kopfweh	/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/ultraschall-aroma-diffuser-bambus-500ml-7-led-farben=>/collections/sub-aroma-diffuser;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm=>/collections/sub-trinkflaschen;/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/ultraschall-aroma-diffuser-bambus-500ml-7-led-farben=>/collections/sub-aroma-diffuser;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm=>/collections/sub-trinkflaschen
artikel	gid://shopify/Article/1001443000705	atherische-ole-fur-besseren-schlaf-die-top-5-2026	/products/ultraschall-aroma-diffuser-bambus-500ml-7-led-farben=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001443033473	reise-gadgets-2026-7-must-haves-fur-jeden-trip	/products/tragbares-ladegeraet-20000mah-solar-3-usb-ports-led=>/collections/elektronik-laden;/products/premium-slim-wallet-rfid-schutz-echtleder=>/products/premium-leder-geldborse-slim;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm=>/collections/sub-trinkflaschen;/products/minimalist-canvas-rucksack-25l-laptop-schule=>/products/urbaner-rucksack-fur-herren-624100;/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized;/products/bio-baumwoll-t-shirt-gots-fair-trade-unisex-xs-3xl=>/collections/sg-bekleidung
artikel	gid://shopify/Article/1001443066241	manner-geschenke-unter-50-chf-7-ideen-die-wirklich-ankommen	/products/premium-slim-wallet-rfid-schutz-echtleder=>/products/premium-leder-geldborse-slim;/products/klassische-herrenuhren-edelstahl-saphirglas-50m-wasserdicht=>/products/herren-business-quarzuhr-mit-stahlarmband-620300;/products/tragbares-ladegeraet-20000mah-solar-3-usb-ports-led=>/collections/elektronik-laden;/products/minimalist-canvas-rucksack-25l-laptop-schule=>/products/urbaner-rucksack-fur-herren-624100;/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized;/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/magnetischer-messerblock-bambus-schlitzfrei-modern=>/products/magnetischer-messerhalter-aus-kunstharz-636600
artikel	gid://shopify/Article/1001443099009	polarisierte-sonnenbrille-was-bedeutet-das-wirklich-komplettguide	/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized
artikel	gid://shopify/Article/1001443131777	9-geschenkideen-fur-frauen-unter-chf-60-muttertag-geburtstag-amp-mehr	/products/silk-pillowcase-set-premium-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/ultraschall-aroma-diffuser-bambus-500ml-7-led-farben=>/collections/sub-aroma-diffuser;/products/soja-duftkerzen-set-wellness-3x200g-vegan-40h=>/collections/wohnen-dekoration;/products/leder-damen-portemonnaie-rose-12-kartenfaecher-rfid=>/products/damen-portemonnaie-aus-echtleder-mit-vielen-ka-622100;/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized;/products/elektrischer-baby-nagelschneider-leise-led-5-aufsaetze=>/collections/sub-baby-kids;/products/led-sicherheitshalsband-hund-usb-wasserdicht-ip65=>/collections/sub-haustier;/products/slow-feeder-anti-schling-napf-fuer-hunde-katzen=>/products/anti-rutsch-slow-feeder-napf-fur-hunde-610600
