# zeit	aktion	produkt	handle	regel	feld	alt	neu	status — google_titel_reparatur.py
2026-09-23T18:46:13Z	SCHREIB	gid://shopify/Product/15454915592577	menstruationscup-fur-frauen-625600	HYGIENE+POLICY	typ	Aufbewahrung & Organizer	Wellness & Gesundheit	ok
2026-09-23T18:46:13Z	SCHREIB	gid://shopify/Product/15454915592577	menstruationscup-fur-frauen-625600	HYGIENE+POLICY	kategorie	gid://shopify/TaxonomyCategory/hg-10-16	gid://shopify/TaxonomyCategory/hb-3-8-5	ok
2026-09-23T18:46:13Z	SCHREIB	gid://shopify/Product/15454915592577	menstruationscup-fur-frauen-625600	HYGIENE+POLICY	tags_dazu		google-policy-flag,google-policy-titel,intimpflege	ok
2026-09-23T18:46:13Z	SCHREIB	gid://shopify/Product/15454915592577	menstruationscup-fur-frauen-625600	HYGIENE+POLICY	tags_weg	aufbewahrung,haushalt,organizer,wohnen		ok
2026-09-23T18:47:14Z	SCHREIB	gid://shopify/Product/15512293572993	biden-herrenuhr-ultraflach-mit-kalender-611776	EINZEL	titel	BIDEN Herrenuhr ultraflach mit Kalender	Ultraflache Herrenuhr mit Kalender	ok
2026-09-23T18:47:14Z	SCHREIB	gid://shopify/Product/15512293572993	biden-herrenuhr-ultraflach-mit-kalender-611776	EINZEL	seo_titel	BIDEN Herrenuhr ultraflach mit Kalender | LuxeStyle CH	Ultraflache Herrenuhr mit Kalender | LuxeStyle CH	ok
2026-09-23T18:47:14Z	SCHREIB	gid://shopify/Product/15512293572993	biden-herrenuhr-ultraflach-mit-kalender-611776	EINZEL	seo_beschreibung	BIDEN Herrenuhr ultraflach mit Kalender – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Ultraflache Herrenuhr mit Kalender – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:47:14Z	UEBERSPRUNGEN	gid://shopify/Product/15512293572993	biden-herrenuhr-ultraflach-mit-kalender-611776	EINZEL	beschreibung			text-sperre-belegt
2026-09-23T18:51:20Z	SCHREIB	gid://shopify/Product/15446275817857	zisha-keramik-gongfu-teetasse-tenmoku-glasur-638100	EINZEL	typ	Aufbewahrung & Organizer	Küche & Bar	ok
2026-09-23T18:51:20Z	SCHREIB	gid://shopify/Product/15446275817857	zisha-keramik-gongfu-teetasse-tenmoku-glasur-638100	EINZEL	kategorie	gid://shopify/TaxonomyCategory/hg	gid://shopify/TaxonomyCategory/hg-11-10-5-2	ok
2026-09-23T18:51:20Z	SCHREIB	gid://shopify/Product/15446275817857	zisha-keramik-gongfu-teetasse-tenmoku-glasur-638100	EINZEL	tags_weg	aufbewahrung,organizer		ok
2026-09-23T18:52:21Z	SCHREIB	gid://shopify/Product/15448619942273	used-look-jeans-mit-leicht-ausgestelltem-bein-621700	USED	titel	Used-Look Jeans mit leicht ausgestelltem Bein	Vintage-Look Jeans mit leicht ausgestelltem Bein	ok
2026-09-23T18:52:21Z	SCHREIB	gid://shopify/Product/15448619942273	used-look-jeans-mit-leicht-ausgestelltem-bein-621700	USED	seo_beschreibung	Used-Look Jeans mit leicht ausgestelltem Bein – jetzt bei LuxeStyle CH bestellen.	Vintage-Look Jeans mit leicht ausgestelltem Bein – jetzt bei LuxeStyle CH bestellen.	ok
2026-09-23T18:52:21Z	UEBERSPRUNGEN	gid://shopify/Product/15448619942273	used-look-jeans-mit-leicht-ausgestelltem-bein-621700	USED	beschreibung			text-sperre-belegt
2026-09-23T18:52:22Z	SCHREIB	gid://shopify/Product/15449030984065	taktisches-outdoor-stativ-faltbar-ausziehbar-519234	POLICY	tags_dazu		google-policy-flag,google-policy-waffen	ok
2026-09-23T18:52:24Z	SCHREIB	gid://shopify/Product/15449163202945	herren-jeansjacke-im-used-look-609500	USED	titel	Herren Jeansjacke im Used-Look	Herren Jeansjacke im Vintage-Look	ok
2026-09-23T18:52:24Z	SCHREIB	gid://shopify/Product/15449163202945	herren-jeansjacke-im-used-look-609500	USED	seo_beschreibung	Herren Jeansjacke im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Herren Jeansjacke im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:26Z	SCHREIB	gid://shopify/Product/15449425314177	portabler-luftreiniger-aschenbecher-437952	RAUCH	typ	Trend-Gadget	Raucherzubehör	ok
2026-09-23T18:52:26Z	SCHREIB	gid://shopify/Product/15449425314177	portabler-luftreiniger-aschenbecher-437952	RAUCH	kategorie		gid://shopify/TaxonomyCategory/hg-19-1	ok
2026-09-23T18:52:26Z	SCHREIB	gid://shopify/Product/15449425314177	portabler-luftreiniger-aschenbecher-437952	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:52:26Z	SCHREIB	gid://shopify/Product/15449425314177	portabler-luftreiniger-aschenbecher-437952	RAUCH	tags_weg	becher		ok
2026-09-23T18:52:30Z	SCHREIB	gid://shopify/Product/15450555056513	erhohende-board-schuhe-im-used-look-605300	USED	titel	Erhöhende Board-Schuhe im Used-Look	Erhöhende Board-Schuhe im Vintage-Look	ok
2026-09-23T18:52:30Z	SCHREIB	gid://shopify/Product/15450555056513	erhohende-board-schuhe-im-used-look-605300	USED	seo_beschreibung	Erhöhende Board-Schuhe im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Erhöhende Board-Schuhe im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:30Z	UEBERSPRUNGEN	gid://shopify/Product/15450555056513	erhohende-board-schuhe-im-used-look-605300	USED	beschreibung			text-sperre-belegt
2026-09-23T18:52:31Z	SCHREIB	gid://shopify/Product/15450856423809	strandtuch-kleid-new-style-f6bb03	EINZEL	titel	Strandtuch-Kleid «New Style»	Strandtuch-Kleid – Badetuch zum Anziehen	ok
2026-09-23T18:52:31Z	SCHREIB	gid://shopify/Product/15450856423809	strandtuch-kleid-new-style-f6bb03	EINZEL	typ	Trend-Gadget	Pool & Strand	ok
2026-09-23T18:52:31Z	SCHREIB	gid://shopify/Product/15450856423809	strandtuch-kleid-new-style-f6bb03	EINZEL	kategorie	gid://shopify/TaxonomyCategory/aa-1	gid://shopify/TaxonomyCategory/hg-15-4-2	ok
2026-09-23T18:52:31Z	SCHREIB	gid://shopify/Product/15450856423809	strandtuch-kleid-new-style-f6bb03	EINZEL	seo_beschreibung	Strandtuch-Kleid «New Style» – der Trend-Hit bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Strandtuch-Kleid – Badetuch zum Anziehen – der Trend-Hit bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:34Z	SCHREIB	gid://shopify/Product/15454199087489	multifunktionaler-aschenbecher-mit-luftreinige-617900	RAUCH	typ	Gadgets	Raucherzubehör	ok
2026-09-23T18:52:34Z	SCHREIB	gid://shopify/Product/15454199087489	multifunktionaler-aschenbecher-mit-luftreinige-617900	RAUCH	kategorie	gid://shopify/TaxonomyCategory/el	gid://shopify/TaxonomyCategory/hg-19-1	ok
2026-09-23T18:52:34Z	SCHREIB	gid://shopify/Product/15454199087489	multifunktionaler-aschenbecher-mit-luftreinige-617900	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:52:34Z	SCHREIB	gid://shopify/Product/15454199087489	multifunktionaler-aschenbecher-mit-luftreinige-617900	RAUCH	tags_weg	becher		ok
2026-09-23T18:52:37Z	SCHREIB	gid://shopify/Product/15455745835393	keramik-aschenbecher-mit-spiral-muster-629100	RAUCH	typ	Aufbewahrung & Organizer	Raucherzubehör	ok
2026-09-23T18:52:37Z	SCHREIB	gid://shopify/Product/15455745835393	keramik-aschenbecher-mit-spiral-muster-629100	RAUCH	kategorie	gid://shopify/TaxonomyCategory/hg-10-16	gid://shopify/TaxonomyCategory/hg-19-1	ok
2026-09-23T18:52:37Z	SCHREIB	gid://shopify/Product/15455745835393	keramik-aschenbecher-mit-spiral-muster-629100	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:52:37Z	SCHREIB	gid://shopify/Product/15455745835393	keramik-aschenbecher-mit-spiral-muster-629100	RAUCH	tags_weg	aufbewahrung,becher,organizer		ok
2026-09-23T18:52:39Z	SCHREIB	gid://shopify/Product/15459593453953	aschenbecher-mit-deckel-602700	RAUCH	typ	Aufbewahrung & Organizer	Raucherzubehör	ok
