"title","brand","price_chf","ean","sku","category","product_url","image_url","condition","availability","shipping_days_eu"
"Dolce & Gabbana «Light Blue» Eau de Toilette · 25 ml","Dolce & Gabbana","59.90","8057971181339","bb-S05149881","Parfum","https://luxestyle.ch/products/dolce-gabbana-light-blue-eau-de-toilette-25-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8057971181339_S05149881_P00.jpg","neu","auf Lager","2-7"
"Dolce & Gabbana «The One» Eau de Parfum · 50 ml","Dolce & Gabbana","99.90","8056669925934","bb-S05150676","Parfum","https://luxestyle.ch/products/dolce-gabbana-the-one-eau-de-parfum-50-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8056669925934_S05150676_P00.jpg","neu","auf Lager","2-7"
"Yves Saint Laurent «L'Homme Cologne Bleue» · Herren","Yves Saint Laurent","109.90","3614271990013","bb-M0122532","Parfum","https://luxestyle.ch/products/yves-saint-laurent-lhomme-cologne-bleue-herren","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/3614271990013_R00.jpg","neu","auf Lager","2-7"
"Kenzo «Amour» Eau de Parfum · 50 ml","Kenzo","64.90","3352818717012","bb-S0800724","Parfum","https://luxestyle.ch/products/kenzo-amour-eau-de-parfum-50-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/3352818717012_3_A00.jpg","neu","auf Lager","2-7"
"Elie Saab «Elixir» Eau de Parfum · 30 ml","Elie Saab","64.90","7640233342039","bb-S05152026","Parfum","https://luxestyle.ch/products/elie-saab-elixir-eau-de-parfum-30-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7640233342039_S05152026_P00.jpg","neu","auf Lager","2-7"
"Antonio Banderas «The Icon» Herren-Set","Antonio Banderas","49.90","8411061109601","bb-S05148808","Parfum","https://luxestyle.ch/products/antonio-banderas-the-icon-herren-set","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8411061109601_S05148808_P00.jpg","neu","auf Lager","2-7"
"Swiss Arabian «Rose» Eau de Parfum · 50 ml","Swiss Arabian","54.90","6295124037931","bb-S05151888","Parfum","https://luxestyle.ch/products/swiss-arabian-rose-eau-de-parfum-50-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/6295124037931_R00.jpg","neu","auf Lager","2-7"
"Jacomo Paris «For Her» Eau de Parfum · 100 ml","Jacomo","54.90","3392865191175","bb-M0127757","Parfum","https://luxestyle.ch/products/jacomo-paris-for-her-eau-de-parfum-100-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/3392865191175_S8302981_P00.jpg","neu","auf Lager","2-7"
"Floris «Cefiro» Eau de Toilette · Unisex 50 ml","Floris London","79.90","0886266091132","bb-M0120063","Parfum","https://luxestyle.ch/products/floris-cefiro-eau-de-toilette-unisex-50-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/0886266091132_M0120063_P00.jpg","neu","auf Lager","2-7"
"Atkinsons «English Lavender» Eau de Toilette · 75 ml","Atkinsons","49.90","8011003865802","bb-M0127385","Parfum","https://luxestyle.ch/products/atkinsons-english-lavender-eau-de-toilette-75-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8011003865802_I20.jpg","neu","auf Lager","2-7"
