produkt_id,handle,titel,variante_id,alter_preis,neuer_preis,einkauf,marge_vorher,entscheid
15446271066497,bouncing-balls-katzenspielzeug-mit-feder-611266,"Bouncing Balls Katzenspielzeug mit Feder",55867032699265,19.90,24.90,13.50,24.6,gesetzt
15446271197569,wurm-spielzeug-set-fur-katzen-541762,"Wurm-Spielzeug-Set für Katzen",55867032895873,15.90,19.90,11.03,22.9,gesetzt
15446271721857,ersatzfedern-fur-katzenangel-629300,"Ersatzfedern für Katzenangel",56063525650817,15.90,19.90,10.29,28.1,gesetzt
15446271721857,ersatzfedern-fur-katzenangel-629300,"Ersatzfedern für Katzenangel",56063525683585,17.90,24.90,12.25,24.0,gesetzt
15446271721857,ersatzfedern-fur-katzenangel-629300,"Ersatzfedern für Katzenangel",56063525716353,17.90,24.90,11.92,26.0,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063698960769,25.90,34.90,18.24,21.8,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063698993537,23.90,29.90,16.34,24.0,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063699026305,20.90,29.90,14.11,25.0,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063699059073,15.90,39.90,21.90,-53.0,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063699091841,25.90,34.90,18.23,21.8,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063699124609,22.90,29.90,15.62,24.2,gesetzt
15447633822081,kratzbaum-und-bett-fur-katzen-aus-karton-625500,"Kratzbaum und Bett für Katzen aus Karton",56063699157377,19.90,24.90,13.67,23.7,gesetzt
15447637787009,kuscheliges-katzenzelt-norwegian-cottage-614100,"Kuscheliges Katzenzelt «Norwegian Cottage»",56063700926849,129.90,169.90,92.39,21.0,gesetzt
