produkt_id,handle,titel,variante_id,alter_preis,neuer_preis,einkauf,marge_vorher,entscheid
15495784923521,katzenbaum-stern-mit-spielzeug-091456,"Katzenbaum 'Stern' mit Spielzeug",56091568243073,35.90,44.90,24.78,23.3,gesetzt
15495895581057,katzen-kratzbaum-mit-emoji-design-309696,"Katzen Kratzbaum mit Emoji-Design",56091833368961,93.90,124.90,67.02,20.7,gesetzt
15495899513217,simulation-katzenrucksack-puppe-221248,"Simulation Katzenrucksack-Puppe",56091841724801,93.90,119.90,66.82,20.9,gesetzt
15496331100545,intelligentes-automatisches-katzenspielzeug-353536,"Intelligentes, automatisches Katzenspielzeug",56094140596609,23.90,29.90,14.81,31.1,gesetzt
15496334311809,beruhigendes-halsband-fur-katzen-und-hunde-619300,"Beruhigendes Halsband für Katzen und Hunde",56094197416321,14.90,19.90,8.86,33.9,gesetzt
15496360329601,keramik-futternapf-fur-katzen-mit-hohem-fuss-185408,"Keramik Futternapf für Katzen mit hohem Fuss",56094367056257,29.90,39.90,20.86,22.5,gesetzt
15496372289921,futterspender-spielzeug-fur-hunde-katzen-000384,"Futterspender-Spielzeug für Hunde & Katzen",56094407328129,15.90,19.90,9.64,32.6,gesetzt
15496372617601,krallenschutz-fur-katzen-980160,"Krallenschutz für Katzen",56094408704385,19.90,29.90,13.90,22.4,gesetzt
15496378155393,schnuffelball-fur-hunde-und-katzen-181696,"Schnüffelball für Hunde und Katzen",56094437769601,15.90,19.90,8.95,37.5,gesetzt
15496379040129,futter-und-trinkbrunnen-fur-katzen-gross-600800,"Futter- und Trinkbrunnen für Katzen, gross",56094441570689,36.90,49.90,25.98,21.8,gesetzt
15496379203969,schleckmatte-fur-hunde-und-katzen-619600,"Schleckmatte für Hunde und Katzen",56094441996673,19.90,24.90,11.94,33.3,gesetzt
15496427569537,whac-a-mole-holzspielzeug-fur-katzen-944896,"Whac-a-mole Holzspielzeug für Katzen",56095015174529,52.90,69.90,37.19,21.9,gesetzt
15496427929985,bowling-schnuffelteppich-fur-hunde-katzen-365504,"Bowling Schnüffelteppich für Hunde & Katzen",56095017402753,20.90,29.90,14.01,25.5,gesetzt
15496428192129,usb-rollball-fur-katzen-wiederaufladbar-191424,"USB-Rollball für Katzen (wiederaufladbar)",56095021334913,23.90,29.90,16.36,23.9,gesetzt
15496428323201,tumbler-haustier-katzenspielzeug-mit-ball-612032,"Tumbler Haustier Katzenspielzeug mit Ball",56095022219649,35.90,44.90,24.95,22.8,gesetzt
15496430420353,interaktives-katzen-spielzeug-fruchtball-229888,"Interaktives Katzen-Spielzeug «Fruchtball»",56095034638721,58.90,79.90,41.89,21.0,gesetzt
15496432157057,erdbeer-futterball-fur-hunde-und-katzen-516160,"Erdbeer-Futterball für Hunde und Katzen",56095044305281,15.90,19.90,9.54,33.3,gesetzt
15496433664385,leises-katzen-haarball-spielzeug-628864,"Leises Katzen-Haarball-Spielzeug",56095047385473,15.90,19.90,9.57,33.1,gesetzt
15496435794305,interaktives-katzenspielzeug-kase-335104,"Interaktives Katzenspielzeug „Käse“",56095054266753,19.90,24.90,13.62,24.0,gesetzt
15496497758593,anti-kratz-und-leckschutz-fur-katzen-623800,"Anti-Kratz- und Leckschutz für Katzen",56095141855617,15.90,19.90,9.60,32.9,gesetzt
15496498905473,verstellbares-katzenhalsband-mit-halstuch-616800,"Verstellbares Katzenhalsband mit Halstuch",56095143821697,20.90,29.90,14.18,24.6,gesetzt
15496506540417,katzenhalsband-leckschutz-nach-sterilisation-614016,"Katzenhalsband – Leckschutz nach Sterilisation",56095152275841,16.90,24.90,11.79,22.5,gesetzt
15496613134721,interaktiver-katzenball-mit-ladestation-218496,"Interaktiver Katzenball mit Ladestation",56095630262657,21.90,24.90,12.67,35.7,gesetzt
15496614543745,mimi-electric-fish-tumbler-katzenball-095104,"Mimi Electric Fish Tumbler Katzenball",56095634194817,23.90,29.90,14.76,31.4,gesetzt
15496704000385,faltbarer-reise-napf-fur-hunde-katzen-611700,"Faltbarer Reise-Napf für Hunde & Katzen",56096080331137,15.90,19.90,9.50,33.6,gesetzt
15496704131457,faltbarer-reise-napf-fur-hunde-und-katzen-613300,"Faltbarer Reise-Napf für Hunde und Katzen",56096080462209,16.90,19.90,10.74,29.4,gesetzt
15496704360833,blumen-katzennapf-aus-keramik-616100,"Blumen Katzennapf aus Keramik",56096080724353,21.90,29.90,14.75,25.2,gesetzt
15496704655745,keramik-doppelnapf-fur-katzen-mit-neigung-620800,"Keramik-Doppelnapf für Katzen mit Neigung",56096081150337,26.90,34.90,18.69,22.8,gesetzt
15497150169473,halsband-mit-gravur-fur-hunde-und-katzen-056064,"Halsband mit Gravur für Hunde und Katzen",56097478738305,18.90,24.90,12.47,26.7,gesetzt
15497180414337,gps-halsband-fur-katzen-und-hunde-787200,"GPS-Halsband für Katzen und Hunde",56097722663297,19.90,24.90,11.17,37.6,gesetzt
15497425551745,kratz-spielturm-fur-katzen-865664,"Kratz-Spielturm für Katzen",56099711287681,17.90,24.90,12.46,22.7,gesetzt
15497425650049,lustige-katzenbox-funfstern-216704,"Lustige Katzenbox Fünfstern",56099711648129,18.90,24.90,12.05,29.2,gesetzt
15497425781121,schnuffelball-aus-filz-fur-hunde-katzen-057344,"Schnüffelball aus Filz für Hunde & Katzen",56099712008577,15.90,19.90,9.73,32.0,gesetzt
