produkt,preis_min,preis_max,kosten_min,kosten_max,varianten
15481712148865,15.90,15.90,,,1
15493717361025,32.90,32.90,,,1
15510929506689,51.90,51.90,43.94,43.94,1
15480653218177,15.90,15.90,,,1
15521254801793,20.90,20.90,17.36,17.36,1
15496289321345,16.90,16.90,8.99,8.99,1
15493830214017,15.90,15.90,,,1
15495234847105,16.90,16.90,,,1
15497360179585,17.90,17.90,10.28,10.28,1
15493152014721,15.90,15.90,,,1
15493852332417,50.90,50.90,,,1
15447933550977,14.90,14.90,10.51,10.51,2
15447933354369,16.90,16.90,11.20,11.20,2
15477466792321,15.90,15.90,,,1
15451932656001,45.90,45.90,20.34,20.34,1
15445800059265,48.90,48.90,24.86,24.86,1
15508419281281,72.90,72.90,58.70,58.70,1
15453897359745,42.90,42.90,44.27,44.27,1
15447868309889,18.90,18.90,15.10,15.10,1
15454199382401,40.90,40.90,33.99,33.99,1
15509369028993,57.90,57.90,48.05,48.05,1
15493871894913,28.90,28.90,,,1
15495116652929,20.90,20.90,,,1
15496390017409,17.90,17.90,10.07,10.07,1
15497360310657,28.90,28.90,26.64,26.64,1
15493705204097,17.90,17.90,,,1
15493705302401,15.90,15.90,,,1
15497647128961,17.90,17.90,10.56,10.56,1
15495117767041,22.90,22.90,,,1
15525190074753,21.90,21.90,18.54,18.54,1
15500155552129,18.90,18.90,12.14,12.14,1
15516112126337,24.90,24.90,21.02,21.02,1
15497455239553,19.90,19.90,11.16,11.16,1
15452682781057,96.90,96.90,47.76,47.76,1
15508422918529,32.90,32.90,27.61,27.61,1
15453617881473,82.90,82.90,42.40,42.40,1
15479417667969,47.90,47.90,33.68,33.68,1
15508204159361,31.90,31.90,26.87,26.87,1
15450164101505,25.90,25.90,23.63,23.63,1
15479450337665,33.90,33.90,,,1
15450164330881,31.90,31.90,26.37,26.37,1
15450164560257,27.90,27.90,24.26,24.26,1
15445800255873,51.90,51.90,24.86,24.86,1
15493619712385,17.90,17.90,,,1
15524874617217,20.90,20.90,17.75,17.75,1
15447562486145,20.90,20.90,28.18,28.18,1
15447872831873,15.90,15.90,14.11,14.11,1
15500485886337,15.90,15.90,9.89,9.89,1
15508396409217,19.90,19.90,16.34,16.34,1
15525189812609,23.90,23.90,20.36,20.36,1
15495117668737,16.90,16.90,,,1
15493836046721,19.90,19.90,,,1
15496358068609,27.90,27.90,26.94,26.94,1
15496324252033,15.90,15.90,7.98,7.98,1
15449459491201,53.90,53.90,23.33,23.33,1
15493152833921,139.90,139.90,,,1
15500156404097,20.90,20.90,13.17,13.17,1
15448945885569,15.90,15.90,7.30,7.30,1
15524864983425,26.90,26.90,22.34,22.34,1
15495212532097,15.90,15.90,,,1
15495143391617,17.90,17.90,,,1
15495143129473,17.90,17.90,,,1
15497643327873,15.90,15.90,8.11,8.11,1
15496324448641,15.90,15.90,7.54,7.54,1
15500911968641,30.90,30.90,28.56,28.56,1
15495130087809,31.90,31.90,,,1
15450841940353,40.90,40.90,29.55,29.55,1
15500073599361,69.90,69.90,56.49,56.49,1
15480138203521,15.90,15.90,,,1
15517621846401,21.90,21.90,18.06,18.06,1
15509368340865,20.90,20.90,17.96,17.96,1
15501001851265,17.90,17.90,9.09,9.09,1
15508200259969,20.90,20.90,17.30,17.30,1
15524001874305,23.90,23.90,20.49,20.49,1
15482000966017,15.90,15.90,,,1
15496516370817,15.90,15.90,8.10,8.10,1
15495149158785,15.90,15.90,,,1
15495117308289,14.90,14.90,,,1
15497430434177,14.90,14.90,6.87,6.87,1
15448809374081,15.90,15.90,6.90,6.90,1
15493476516225,14.90,14.90,,,1
15493576753537,15.90,15.90,,,1
15523850355073,23.90,23.90,20.35,20.35,1
15502064189825,16.90,16.90,10.27,10.27,1
15449460113793,15.90,15.90,9.70,9.70,1
15453769597313,15.90,15.90,9.59,9.59,1
15495395967361,17.90,17.90,14.85,14.85,1
15493809013121,19.90,19.90,,,1
15448837685633,59.90,59.90,87.69,87.69,1
15504139125121,24.90,24.90,24.78,24.78,1
15451516699009,82.90,82.90,62.40,62.40,1
15517577019777,31.90,31.90,27.36,27.36,1
15520410108289,21.90,21.90,18.43,18.43,1
15525189878145,24.90,24.90,20.87,20.87,1
15450832339329,15.90,15.90,9.53,9.53,8
15496269267329,16.90,16.90,10.48,10.48,1
15493934219649,20.90,20.90,,,1
15495234748801,15.90,15.90,,,1
15500940542337,17.90,17.90,12.21,12.21,1
15445799993729,15.90,15.90,8.44,9.15,9
15497360081281,15.90,15.90,8.16,8.16,1
15495143981441,19.90,19.90,,,1
15510785458561,22.90,22.90,19.65,19.65,1
15497430073729,18.90,18.90,11.06,11.06,1
15497443737985,17.90,17.90,11.23,11.23,1
15503009022337,16.90,16.90,9.63,9.63,1
15493874057601,27.90,27.90,,,1
15504178053505,28.90,28.90,30.16,30.16,1
15463465976193,56.90,56.90,,,1
15449005490561,69.90,69.90,91.13,91.13,1
15449004802433,69.90,69.90,91.13,91.13,1
15500456460673,16.90,16.90,13.33,13.33,1
15479532749185,17.90,17.90,,,1
15523139060097,21.90,21.90,18.12,18.12,1
15495048757633,37.90,37.90,,,1
15525141217665,20.90,20.90,17.44,17.44,1
15496441987457,29.90,29.90,9.41,9.41,1
15449132466561,15.90,15.90,6.85,6.85,1
15495233110401,16.90,16.90,,,1
15493499781505,15.90,15.90,,,1
