produkt,preis_min,preis_max,kosten_min,kosten_max,varianten
15506298896769,51.90,51.90,43.92,45.88,21
15506298831233,17.90,17.90,9.52,9.52,1
15506298765697,17.90,17.90,17.19,17.19,1
15506298700161,18.90,18.90,20.52,20.52,1
15506298634625,21.90,21.90,17.31,18.61,36
15506298569089,65.90,65.90,45.31,45.31,1
15506298503553,19.90,19.90,15.24,15.24,1
15506298372481,17.90,17.90,9.52,9.52,1
15506298339713,16.90,16.90,16.33,17.64,18
15506298306945,17.90,17.90,35.58,35.58,1
15506298175873,17.90,17.90,9.15,9.15,1
15506298077569,21.90,22.90,16.95,20.27,27
15506298012033,15.90,15.90,9.16,9.16,1
15506297913729,17.90,17.90,9.38,9.38,1
15506297684353,17.90,17.90,9.52,9.52,1
15429997920641,29.90,31.90,,,10
15429997855105,29.90,31.90,,,10
15429997822337,29.90,31.90,,,10
15429997724033,29.90,31.90,,,10
15429994316161,34.90,39.90,,,2
15429994283393,34.90,39.90,,,2
15429994217857,34.90,39.90,,,2
15429994185089,34.90,39.90,,,2
15427285156225,24.90,24.90,,,3
15427285123457,32.90,32.90,,,2
15427285090689,17.90,17.90,,,1
15427285057921,21.90,21.90,,,1
15427285025153,17.90,17.90,,,1
15427284992385,21.90,21.90,,,1
15427284959617,29.90,29.90,,,2
15427284926849,17.90,17.90,,,1
15427284894081,21.90,21.90,,,1
15427284861313,17.90,17.90,,,1
15427284828545,29.90,29.90,,,2
15427284795777,21.90,21.90,,,1
15427284763009,17.90,17.90,,,1
15427284730241,29.90,29.90,,,2
15427284697473,21.90,21.90,,,1
15427284664705,17.90,17.90,,,1
15427284631937,29.90,29.90,,,2
15427284599169,21.90,21.90,,,1
15427284566401,17.90,17.90,,,1
15427284533633,29.90,29.90,,,2
15427284500865,21.90,21.90,,,1
15427284468097,17.90,17.90,,,1
15427284435329,21.90,21.90,,,1
15427284402561,29.90,29.90,,,2
15427284369793,17.90,17.90,,,1
15427284337025,21.90,21.90,,,1
15427284304257,29.90,29.90,,,2
15427284271489,17.90,17.90,,,1
15427284238721,21.90,21.90,,,1
15427284205953,29.90,29.90,,,2
15427284173185,17.90,17.90,,,1
15427284140417,21.90,21.90,,,1
15427284107649,29.90,29.90,,,2
15427284074881,17.90,17.90,,,1
15453893755265,17.90,17.90,9.80,16.98,12
15450849345921,14.90,23.90,12.68,34.13,6
15427284042113,21.90,21.90,,,1
15449005490561,69.90,69.90,91.13,91.13,1
15427284009345,29.90,29.90,,,2
15427283976577,21.90,21.90,,,1
15449004802433,69.90,69.90,91.13,91.13,1
15427283943809,17.90,17.90,,,1
15449004736897,69.90,69.90,91.13,91.13,1
15427283911041,29.90,29.90,,,2
15449001099649,30.90,30.90,15.03,15.03,1
15448990810497,41.90,41.90,46.49,46.49,1
15427283878273,21.90,21.90,,,1
15448965087617,29.90,29.90,,,1
15448965054849,53.90,53.90,30.58,30.58,1
15427283845505,17.90,17.90,,,1
15448964759937,65.90,65.90,65.61,65.61,1
15427283812737,29.90,29.90,,,2
15448964465025,20.90,20.90,68.11,68.11,1
15448962695553,56.90,56.90,,,1
15448962630017,65.90,65.90,,,1
15448962072961,15.90,15.90,9.13,9.13,1
15448960598401,51.90,51.90,42.50,42.50,1
15448960434561,55.90,55.90,55.15,55.15,1
15427283779969,21.90,21.90,,,1
15448959975809,15.90,15.90,10.81,10.81,1
15448959779201,24.90,24.90,27.31,27.31,1
15448959680897,32.90,32.90,44.32,44.32,1
15448959091073,21.90,22.90,29.51,43.53,8
15427283747201,17.90,17.90,,,1
15448958960001,15.90,15.90,9.04,10.14,2
15427283714433,29.90,29.90,,,2
15448958861697,43.90,43.90,16.45,16.45,1
15427283681665,21.90,21.90,,,1
15448958763393,22.90,22.90,6.69,6.69,1
15427283648897,17.90,17.90,,,1
15448958337409,28.90,28.90,6.48,6.48,1
15427283616129,29.90,29.90,,,2
15427283583361,21.90,21.90,,,1
15448957747585,14.90,14.90,14.05,14.05,1
15448957354369,31.90,31.90,18.54,18.54,1
15448957092225,14.90,14.90,10.22,10.22,1
15427283550593,17.90,17.90,,,1
15448957059457,23.90,23.90,14.70,14.70,1
15427283517825,29.90,29.90,,,2
15448956993921,18.90,18.90,12.51,12.51,1
15448956764545,20.90,20.90,13.36,13.36,1
15427283485057,21.90,21.90,,,1
15427283452289,29.90,29.90,,,2
15427283419521,17.90,17.90,,,1
15427283386753,21.90,21.90,,,1
15448956273025,15.90,15.90,10.82,10.82,1
15448956043649,15.90,15.90,8.44,11.10,4
15427283353985,17.90,17.90,,,1
15448955978113,35.90,35.90,11.64,13.78,2
15448955617665,14.90,14.90,11.93,13.19,7
15427283321217,29.90,29.90,,,2
15427283288449,21.90,21.90,,,1
15448954732929,15.90,15.90,19.22,19.97,5
15427283255681,17.90,17.90,,,1
15448954634625,15.90,15.90,20.15,20.85,10
15427283222913,29.90,29.90,,,2
15448954208641,24.90,24.90,13.37,15.91,10
