name	format	datei	preis_min	preis_max	preis_text	bild	hauptbild	quelle_px	modus	kb	sha1	erstellt
2-in-1-glatteisen-lockenstab-mit-display-590400	ig45	ig45/2-in-1-glatteisen-lockenstab-mit-display-590400.jpg	22.90	22.90	CHF 22.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/6fce42f1-404a-494d-a9bb-7901679b8fd1.jpg		1920x1920	oben=farbe,unten=farbe	48	6e71fb28ecfa00aa	2026-09-23T17:51:02Z
2-in-1-glatteisen-lockenstab-mit-display-590400	pin	2-in-1-glatteisen-lockenstab-mit-display-590400.jpg	22.90	22.90	CHF 22.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/6fce42f1-404a-494d-a9bb-7901679b8fd1.jpg		1920x1920	oben=farbe,unten=farbe	66	d96bf8f000d38a39	2026-09-23T17:51:02Z
bodenstativ-mit-led-ringlicht-fur-livestreams-083200	ig45	ig45/bodenstativ-mit-led-ringlicht-fur-livestreams-083200.jpg	43.90	43.90	CHF 43.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/40cbc00d-410c-4b17-bbbd-46da689df9cf.jpg		800x800	oben=farbe,unten=farbe	29	7bff2ab34570f6fc	2026-09-23T17:51:04Z
bodenstativ-mit-led-ringlicht-fur-livestreams-083200	pin	bodenstativ-mit-led-ringlicht-fur-livestreams-083200.jpg	43.90	43.90	CHF 43.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/40cbc00d-410c-4b17-bbbd-46da689df9cf.jpg		800x800	oben=farbe,unten=farbe	50	451497d115c16cb4	2026-09-23T17:51:04Z
dekostoff-horror-fga901377	pin	dekostoff-horror-fga901377.jpg	20.00	20.00	CHF 20.00	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/901377_2.jpg		724x1548	links=farbe,rechts=farbe	217	333b506d225a0b9f	2026-09-23T22:41:20Z
einhornskelett-18-cm-fga910992	pin	einhornskelett-18-cm-fga910992.jpg	21.90	21.90	CHF 21.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/910992_1.jpg		1441x1575	oben=farbe,unten=farbe	119	c2d23768c8e7381f	2026-09-23T22:41:20Z
gruselpuppe-50-cm-weiss-fga910036	pin	gruselpuppe-50-cm-weiss-fga910036.jpg	20.90	20.90	CHF 20.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/910036_1_7385c1b1-337c-4fe4-8df2-b4e6635625fd.jpg		1260x1520	oben=farbe,unten=farbe	139	feb98d008c655d9e	2026-09-23T22:41:22Z
kissenbezug-mit-kurbis-stickerei-634500	pin	kissenbezug-mit-kurbis-stickerei-634500.jpg	20.90	20.90	CHF 20.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7e580a2c-cd11-498f-a36d-6161004b1b3e.jpg	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7e580a2c-cd11-498f-a36d-6161004b1b3e.jpg	797x796	oben=spiegel,unten=spiegel	226	d94ccccbf3fa0c3a	2026-09-23T23:29:34Z
rabe-mit-federn-fga93063	pin	rabe-mit-federn-fga93063.jpg	22.90	22.90	CHF 22.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/93063_1.jpg		1025x1142	oben=farbe,unten=farbe	131	870b29295028e979	2026-09-23T22:41:21Z
silikon-gesichtsreinigungsburste-0787a2	ig45	ig45/silikon-gesichtsreinigungsburste-0787a2.jpg	30.90	30.90	CHF 30.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/732423819851.png		598x598	oben=farbe,unten=spiegel	106	df7c62fbdb8e5585	2026-09-23T17:51:03Z
silikon-gesichtsreinigungsburste-0787a2	pin	silikon-gesichtsreinigungsburste-0787a2.jpg	30.90	30.90	CHF 30.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/732423819851.png		598x598	oben=farbe,unten=spiegel	117	da5589f0d22a8d18	2026-09-23T17:51:03Z
skelett-lebensgross-fga97800	pin	skelett-lebensgross-fga97800.jpg	128.00	128.00	CHF 128.00	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/97800_2.jpg		995x1162	oben=farbe,unten=farbe	193	30826ef38196f91a	2026-09-23T22:41:20Z
usb-heizkissen-mit-graphen-technologie-acad9f	ig45	ig45/usb-heizkissen-mit-graphen-technologie-acad9f.jpg	20.90	20.90	CHF 20.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/2610379402903.jpg		800x800	oben=spiegel,unten=farbe	134	db07f36c92e4cf12	2026-09-23T17:51:03Z
usb-heizkissen-mit-graphen-technologie-acad9f	pin	usb-heizkissen-mit-graphen-technologie-acad9f.jpg	20.90	20.90	CHF 20.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/2610379402903.jpg		800x800	oben=spiegel,unten=farbe	145	3acfa0df43a6ac82	2026-09-23T17:51:03Z
wasserdichter-rgb-led-streifen-12v-958464	ig45	ig45/wasserdichter-rgb-led-streifen-12v-958464.jpg	24.90	24.90	CHF 24.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/530487c8-8277-4e57-a89b-23998f092ea7.jpg		780x780	oben=farbe,unten=spiegel	124	e180d23b56180fc3	2026-09-23T17:51:04Z
wasserdichter-rgb-led-streifen-12v-958464	pin	wasserdichter-rgb-led-streifen-12v-958464.jpg	24.90	24.90	CHF 24.90	https://cdn.shopify.com/s/files/1/0943/6856/3585/files/530487c8-8277-4e57-a89b-23998f092ea7.jpg		780x780	oben=farbe,unten=spiegel	134	c99154be3b1f85bf	2026-09-23T17:51:04Z
