date,time,scene,title,file,caption,hashtags
2026-06-04,18:00,s1,Der Doomscroll-Sog,output/clipfilm_s1.mp4,Der Doomscroll-Sog — Du wolltest nur kurz aufs Handy.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-06,18:00,s2,Du bist nicht faul,output/clipfilm_s2.mp4,Du bist nicht faul — Du bist nicht faul.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-08,18:00,s3,Der 21-Tage-Mythos,output/clipfilm_s3.mp4,Der 21-Tage-Mythos — Einundzwanzig Tage für eine neue Gewohnheit? Vergiss es.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-10,18:00,s4,Der Willenskraft-Mythos,output/clipfilm_s4.mp4,Der Willenskraft-Mythos — Disziplin wird überschätzt.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-12,18:00,s5,Warum Zucker dich packt,output/clipfilm_s5.mp4,Warum Zucker dich packt — Zucker ist nicht das Problem.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-14,18:00,s6,Warum du zum Handy greifst,output/clipfilm_s6.mp4,Warum du zum Handy greifst — Sechsundneunzig Mal am Tag greifst du zum Handy.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-16,18:00,s7,Raus aus dem Sucht-Loop,output/clipfilm_s7.mp4,"Raus aus dem Sucht-Loop — Du rauchst nicht, weil du schwach bist.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-18,18:00,s8,Die Vergleichs-Falle,output/clipfilm_s8.mp4,Die Vergleichs-Falle — Jedes Mal beim Scrollen vergleichst du dein echtes Leben mit den Highlights von anderen.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-20,18:00,s9,Warum du nachts naschst,output/clipfilm_s9.mp4,"Warum du nachts naschst — Warum greifst du abends zum Kühlschrank, obwohl du satt bist? Müdigkeit senkt deine Selbstkontrolle, und dein Gehirn sucht schnelle Energie.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-22,18:00,s10,Die Multitasking-Lüge,output/clipfilm_s10.mp4,Die Multitasking-Lüge — Multitasking gibt es nicht.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-24,18:00,s11,Die Zwei-Minuten-Regel,output/clipfilm_s11.mp4,"Die Zwei-Minuten-Regel — Du schiebst kleine Dinge ewig auf, bis sie zum Berg werden.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-26,18:00,s12,Schlaf schlägt jeden Hack,output/clipfilm_s12.mp4,"Schlaf schlägt jeden Hack — Nach einer schlechten Nacht triffst du schlechtere Entscheidungen, und merkst es nicht mal.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-28,18:00,s13,Nervös? Sag aufgeregt,output/clipfilm_s13.mp4,Nervös? Sag aufgeregt — Dein Herz rast vor einem wichtigen Moment? Dein Körper macht bei Angst und Aufregung fast dasselbe.,#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-06-30,18:00,s14,Der Marshmallow-Trick,output/clipfilm_s14.mp4,"Der Marshmallow-Trick — Ein Kind, ein Marshmallow, eine Regel: Warte, und du bekommst zwei.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
2026-07-02,18:00,s15,Habit-Stacking,output/clipfilm_s15.mp4,"Habit-Stacking — Neue Gewohnheiten scheitern, weil du sie vergisst.",#gehirnhacks #psychologie #produktivität #mindset #selbstoptimierung #reels #shorts
